year,game_datetime,game_pk,team_winner,team_loser,final_inning
2014,2014-03-31 17:05:00+00:00,380542,Pittsburgh Pirates,Chicago Cubs,10
2014,2014-03-31 17:10:00+00:00,380553,Washington Nationals,New York Mets,10
2014,2014-04-02 17:08:00+00:00,380568,Detroit Tigers,Kansas City Royals,10
2014,2014-04-02 18:10:00+00:00,380570,Chicago White Sox,Minnesota Twins,11
2014,2014-04-02 23:05:00+00:00,380565,Pittsburgh Pirates,Chicago Cubs,16
2014,2014-04-04 02:05:00+00:00,380584,Oakland Athletics,Seattle Mariners,12
2014,2014-04-05 23:10:00+00:00,380610,Milwaukee Brewers,Boston Red Sox,11
2014,2014-04-09 02:10:00+00:00,380648,Los Angeles Dodgers,Detroit Tigers,10
2014,2014-04-09 17:10:00+00:00,380666,Oakland Athletics,Minnesota Twins,11
2014,2014-04-10 02:10:00+00:00,380661,Detroit Tigers,Los Angeles Dodgers,10
2014,2014-04-11 02:15:00+00:00,380671,Arizona Diamondbacks,San Francisco Giants,10
2014,2014-04-11 23:35:00+00:00,380694,Atlanta Braves,Washington Nationals,10
2014,2014-04-12 00:05:00+00:00,380685,Texas Rangers,Houston Astros,12
2014,2014-04-12 02:05:00+00:00,380689,Los Angeles Angels,New York Mets,11
2014,2014-04-12 00:15:00+00:00,380681,Chicago Cubs,St. Louis Cardinals,11
2014,2014-04-12 23:05:00+00:00,380703,Philadelphia Phillies,Miami Marlins,10
2014,2014-04-12 23:05:00+00:00,380708,Baltimore Orioles,Toronto Blue Jays,12
2014,2014-04-13 00:05:00+00:00,380700,Houston Astros,Texas Rangers,10
2014,2014-04-13 01:05:00+00:00,380704,New York Mets,Los Angeles Angels,13
2014,2014-04-13 20:05:00+00:00,380713,San Francisco Giants,Colorado Rockies,10
2014,2014-04-16 02:05:00+00:00,380742,Oakland Athletics,Los Angeles Angels,11
2014,2014-04-16 02:15:00+00:00,380740,San Francisco Giants,Los Angeles Dodgers,12
2014,2014-04-17 00:10:00+00:00,380750,Boston Red Sox,Chicago White Sox,14
2014,2014-04-17 00:10:00+00:00,380754,Kansas City Royals,Houston Astros,11
2014,2014-04-17 02:05:00+00:00,380757,Los Angeles Angels,Oakland Athletics,12
2014,2014-04-19 02:10:00+00:00,380776,Arizona Diamondbacks,Los Angeles Dodgers,12
2014,2014-04-20 17:40:00+00:00,380814,New York Yankees,Tampa Bay Rays,12
2014,2014-04-20 17:10:00+00:00,380807,New York Mets,Atlanta Braves,14
2014,2014-04-20 17:35:00+00:00,380812,Milwaukee Brewers,Pittsburgh Pirates,14
2014,2014-04-21 23:10:00+00:00,380827,Atlanta Braves,Miami Marlins,10
2014,2014-04-23 00:10:00+00:00,380844,San Diego Padres,Milwaukee Brewers,12
2014,2014-04-23 02:10:00+00:00,380843,Philadelphia Phillies,Los Angeles Dodgers,10
2014,2014-04-23 19:10:00+00:00,380860,San Francisco Giants,Colorado Rockies,11
2014,2014-04-23 23:10:00+00:00,380856,Minnesota Twins,Tampa Bay Rays,12
2014,2014-04-24 23:05:00+00:00,380872,San Diego Padres,Washington Nationals,12
2014,2014-04-26 02:10:00+00:00,380879,Colorado Rockies,Los Angeles Dodgers,11
2014,2014-04-26 23:05:00+00:00,380896,Baltimore Orioles,Kansas City Royals,10
2014,2014-04-26 23:10:00+00:00,380897,Miami Marlins,New York Mets,10
2014,2014-04-27 17:35:00+00:00,380907,Atlanta Braves,Cincinnati Reds,10
2014,2014-04-29 00:15:00+00:00,380922,Milwaukee Brewers,St. Louis Cardinals,12
2014,2014-04-30 00:15:00+00:00,380932,Milwaukee Brewers,St. Louis Cardinals,11
2014,2014-05-01 23:10:00+00:00,380931,Los Angeles Dodgers,Minnesota Twins,12
2014,2014-05-01 01:40:00+00:00,380944,Arizona Diamondbacks,Colorado Rockies,10
2014,2014-05-01 23:10:00+00:00,380931,Los Angeles Dodgers,Minnesota Twins,12
2014,2014-05-01 20:10:00+00:00,380950,Baltimore Orioles,Pittsburgh Pirates,10
2014,2014-05-01 20:10:00+00:00,380950,Baltimore Orioles,Pittsburgh Pirates,10
2014,2014-05-02 23:05:00+00:00,380974,Tampa Bay Rays,New York Yankees,14
2014,2014-05-03 00:10:00+00:00,380971,Houston Astros,Seattle Mariners,11
2014,2014-05-03 23:10:00+00:00,380982,Los Angeles Dodgers,Miami Marlins,11
2014,2014-05-04 17:35:00+00:00,381000,Oakland Athletics,Boston Red Sox,10
2014,2014-05-04 20:10:00+00:00,380998,Cincinnati Reds,Milwaukee Brewers,10
2014,2014-05-05 23:05:00+00:00,381017,San Francisco Giants,Pittsburgh Pirates,13
2014,2014-05-05 23:05:00+00:00,381013,Minnesota Twins,Cleveland Indians,10
2014,2014-05-06 00:05:00+00:00,381009,Chicago White Sox,Chicago Cubs,12
2014,2014-05-06 02:10:00+00:00,381011,San Diego Padres,Kansas City Royals,12
2014,2014-05-06 23:05:00+00:00,381035,Toronto Blue Jays,Philadelphia Phillies,10
2014,2014-05-06 23:10:00+00:00,381024,Boston Red Sox,Cincinnati Reds,12
2014,2014-05-07 02:10:00+00:00,381026,Kansas City Royals,San Diego Padres,11
2014,2014-05-07 19:35:00+00:00,381048,Seattle Mariners,Oakland Athletics,10
2014,2014-05-09 02:10:00+00:00,381056,Miami Marlins,San Diego Padres,11
2014,2014-05-09 02:10:00+00:00,381059,San Francisco Giants,Los Angeles Dodgers,10
2014,2014-05-09 23:10:00+00:00,381071,Philadelphia Phillies,New York Mets,11
2014,2014-05-09 23:35:00+00:00,381063,Atlanta Braves,Chicago Cubs,10
2014,2014-05-10 23:05:00+00:00,381081,Baltimore Orioles,Houston Astros,10
2014,2014-05-11 01:05:00+00:00,381089,Oakland Athletics,Washington Nationals,10
2014,2014-05-11 17:10:00+00:00,381101,New York Mets,Philadelphia Phillies,11
2014,2014-05-11 20:10:00+00:00,381102,San Francisco Giants,Los Angeles Dodgers,10
