team_name,season,games_played
Arizona Diamondbacks,2014,162
Arizona Diamondbacks,2015,162
Arizona Diamondbacks,2016,162
Arizona Diamondbacks,2017,162
Arizona Diamondbacks,2018,162
Arizona Diamondbacks,2019,162
Arizona Diamondbacks,2020,60
Arizona Diamondbacks,2021,162
Arizona Diamondbacks,2022,162
Arizona Diamondbacks,2023,162
Arizona Diamondbacks,2024,162
Atlanta Braves,2014,162
Atlanta Braves,2015,162
Atlanta Braves,2016,162
Atlanta Braves,2017,162
Atlanta Braves,2018,162
Atlanta Braves,2019,162
Atlanta Braves,2020,60
Atlanta Braves,2021,162
Atlanta Braves,2022,162
Atlanta Braves,2023,162
Atlanta Braves,2024,162
Baltimore Orioles,2014,162
Baltimore Orioles,2015,162
Baltimore Orioles,2016,162
Baltimore Orioles,2017,162
Baltimore Orioles,2018,162
Baltimore Orioles,2019,162
Baltimore Orioles,2020,60
Baltimore Orioles,2021,162
Baltimore Orioles,2022,162
Baltimore Orioles,2023,162
Baltimore Orioles,2024,162
Boston Red Sox,2014,162
Boston Red Sox,2015,162
Boston Red Sox,2016,162
Boston Red Sox,2017,162
Boston Red Sox,2018,162
Boston Red Sox,2019,162
Boston Red Sox,2020,60
Boston Red Sox,2021,162
Boston Red Sox,2022,162
Boston Red Sox,2023,162
Boston Red Sox,2024,162
Chicago Cubs,2014,162
Chicago Cubs,2015,162
Chicago Cubs,2016,162
Chicago Cubs,2017,162
Chicago Cubs,2018,163
Chicago Cubs,2019,162
Chicago Cubs,2020,60
Chicago Cubs,2021,162
Chicago Cubs,2022,162
Chicago Cubs,2023,162
Chicago Cubs,2024,162
Chicago White Sox,2014,162
Chicago White Sox,2015,162
Chicago White Sox,2016,162
Chicago White Sox,2017,162
Chicago White Sox,2018,162
Chicago White Sox,2019,162
Chicago White Sox,2020,60
Chicago White Sox,2021,162
Chicago White Sox,2022,162
Chicago White Sox,2023,162
Chicago White Sox,2024,162
Cincinnati Reds,2014,162
Cincinnati Reds,2015,162
Cincinnati Reds,2016,162
Cincinnati Reds,2017,162
Cincinnati Reds,2018,162
Cincinnati Reds,2019,162
Cincinnati Reds,2020,60
Cincinnati Reds,2021,162
Cincinnati Reds,2022,162
Cincinnati Reds,2023,162
Cincinnati Reds,2024,162
Cleveland Guardians,2022,162
Cleveland Guardians,2023,162
Cleveland Guardians,2024,162
Cleveland Indians,2014,162
Cleveland Indians,2015,162
Cleveland Indians,2016,162
Cleveland Indians,2017,162
Cleveland Indians,2018,162
Cleveland Indians,2019,162
Cleveland Indians,2020,60
Cleveland Indians,2021,162
Colorado Rockies,2014,162
Colorado Rockies,2015,162
Colorado Rockies,2016,162
Colorado Rockies,2017,162
Colorado Rockies,2018,163
Colorado Rockies,2019,162
Colorado Rockies,2020,60
Colorado Rockies,2021,162
Colorado Rockies,2022,162
Colorado Rockies,2023,162
Colorado Rockies,2024,162
Detroit Tigers,2014,162
Detroit Tigers,2015,162
Detroit Tigers,2016,162
Detroit Tigers,2017,162
Detroit Tigers,2018,162
Detroit Tigers,2019,162
Detroit Tigers,2020,60
Detroit Tigers,2021,162
Detroit Tigers,2022,162
Detroit Tigers,2023,162
Detroit Tigers,2024,162
Houston Astros,2014,162
Houston Astros,2015,162
Houston Astros,2016,162
Houston Astros,2017,162
Houston Astros,2018,162
Houston Astros,2019,162
Houston Astros,2020,60
Houston Astros,2021,162
Houston Astros,2022,162
Houston Astros,2023,162
Houston Astros,2024,162
Kansas City Royals,2014,162
Kansas City Royals,2015,162
Kansas City Royals,2016,162
Kansas City Royals,2017,162
Kansas City Royals,2018,162
Kansas City Royals,2019,162
Kansas City Royals,2020,60
Kansas City Royals,2021,162
Kansas City Royals,2022,162
Kansas City Royals,2023,162
Kansas City Royals,2024,162
Los Angeles Angels,2014,162
Los Angeles Angels,2015,162
Los Angeles Angels,2016,162
Los Angeles Angels,2017,162
Los Angeles Angels,2018,162
Los Angeles Angels,2019,162
Los Angeles Angels,2020,60
Los Angeles Angels,2021,162
Los Angeles Angels,2022,162
Los Angeles Angels,2023,162
Los Angeles Angels,2024,162
Los Angeles Dodgers,2014,162
Los Angeles Dodgers,2015,162
Los Angeles Dodgers,2016,162
Los Angeles Dodgers,2017,162
Los Angeles Dodgers,2018,163
Los Angeles Dodgers,2019,162
Los Angeles Dodgers,2020,60
Los Angeles Dodgers,2021,162
Los Angeles Dodgers,2022,162
Los Angeles Dodgers,2023,162
Los Angeles Dodgers,2024,162
Miami Marlins,2014,162
Miami Marlins,2015,162
Miami Marlins,2016,162
Miami Marlins,2017,162
Miami Marlins,2018,162
Miami Marlins,2019,162
Miami Marlins,2020,60
Miami Marlins,2021,162
Miami Marlins,2022,162
Miami Marlins,2023,162
Miami Marlins,2024,162
Milwaukee Brewers,2014,162
Milwaukee Brewers,2015,162
Milwaukee Brewers,2016,162
Milwaukee Brewers,2017,162
Milwaukee Brewers,2018,163
Milwaukee Brewers,2019,162
Milwaukee Brewers,2020,60
Milwaukee Brewers,2021,162
Milwaukee Brewers,2022,162
Milwaukee Brewers,2023,162
Milwaukee Brewers,2024,162
Minnesota Twins,2014,162
Minnesota Twins,2015,162
Minnesota Twins,2016,162
Minnesota Twins,2017,162
Minnesota Twins,2018,162
Minnesota Twins,2019,162
Minnesota Twins,2020,60
Minnesota Twins,2021,162
Minnesota Twins,2022,162
Minnesota Twins,2023,162
Minnesota Twins,2024,162
New York Mets,2014,162
New York Mets,2015,162
New York Mets,2016,162
New York Mets,2017,162
New York Mets,2018,162
New York Mets,2019,162
New York Mets,2020,60
New York Mets,2021,162
New York Mets,2022,162
New York Mets,2023,162
New York Mets,2024,162
New York Yankees,2014,162
New York Yankees,2015,162
New York Yankees,2016,162
New York Yankees,2017,162
New York Yankees,2018,162
New York Yankees,2019,162
New York Yankees,2020,60
New York Yankees,2021,162
New York Yankees,2022,162
New York Yankees,2023,162
New York Yankees,2024,162
Oakland Athletics,2014,162
Oakland Athletics,2015,162
Oakland Athletics,2016,162
Oakland Athletics,2017,162
Oakland Athletics,2018,162
Oakland Athletics,2019,162
Oakland Athletics,2020,60
Oakland Athletics,2021,162
Oakland Athletics,2022,162
Oakland Athletics,2023,162
Oakland Athletics,2024,162
Philadelphia Phillies,2014,162
Philadelphia Phillies,2015,162
Philadelphia Phillies,2016,162
Philadelphia Phillies,2017,162
Philadelphia Phillies,2018,162
Philadelphia Phillies,2019,162
Philadelphia Phillies,2020,60
Philadelphia Phillies,2021,162
Philadelphia Phillies,2022,162
Philadelphia Phillies,2023,162
Philadelphia Phillies,2024,162
Pittsburgh Pirates,2014,162
Pittsburgh Pirates,2015,162
Pittsburgh Pirates,2016,162
Pittsburgh Pirates,2017,162
Pittsburgh Pirates,2018,162
Pittsburgh Pirates,2019,162
Pittsburgh Pirates,2020,60
Pittsburgh Pirates,2021,162
Pittsburgh Pirates,2022,162
Pittsburgh Pirates,2023,162
Pittsburgh Pirates,2024,162
San Diego Padres,2014,162
San Diego Padres,2015,162
San Diego Padres,2016,162
San Diego Padres,2017,162
San Diego Padres,2018,162
San Diego Padres,2019,162
San Diego Padres,2020,60
San Diego Padres,2021,162
San Diego Padres,2022,162
San Diego Padres,2023,162
San Diego Padres,2024,162
San Francisco Giants,2014,162
San Francisco Giants,2015,162
San Francisco Giants,2016,162
San Francisco Giants,2017,162
San Francisco Giants,2018,162
San Francisco Giants,2019,162
San Francisco Giants,2020,60
San Francisco Giants,2021,162
San Francisco Giants,2022,162
San Francisco Giants,2023,162
San Francisco Giants,2024,162
Seattle Mariners,2014,162
Seattle Mariners,2015,162
Seattle Mariners,2016,162
Seattle Mariners,2017,162
Seattle Mariners,2018,162
Seattle Mariners,2019,162
Seattle Mariners,2020,60
Seattle Mariners,2021,162
Seattle Mariners,2022,162
Seattle Mariners,2023,162
Seattle Mariners,2024,162
St. Louis Cardinals,2014,162
St. Louis Cardinals,2015,162
St. Louis Cardinals,2016,162
St. Louis Cardinals,2017,162
St. Louis Cardinals,2018,162
St. Louis Cardinals,2019,162
St. Louis Cardinals,2020,60
St. Louis Cardinals,2021,162
St. Louis Cardinals,2022,162
St. Louis Cardinals,2023,162
St. Louis Cardinals,2024,162
Tampa Bay Rays,2014,162
Tampa Bay Rays,2015,162
Tampa Bay Rays,2016,162
Tampa Bay Rays,2017,162
Tampa Bay Rays,2018,162
Tampa Bay Rays,2019,162
Tampa Bay Rays,2020,60
Tampa Bay Rays,2021,162
Tampa Bay Rays,2022,162
Tampa Bay Rays,2023,162
Tampa Bay Rays,2024,162
Texas Rangers,2014,162
Texas Rangers,2015,162
Texas Rangers,2016,162
Texas Rangers,2017,162
Texas Rangers,2018,162
Texas Rangers,2019,162
Texas Rangers,2020,60
Texas Rangers,2021,162
Texas Rangers,2022,162
Texas Rangers,2023,162
Texas Rangers,2024,162
Toronto Blue Jays,2014,162
Toronto Blue Jays,2015,162
Toronto Blue Jays,2016,162
Toronto Blue Jays,2017,162
Toronto Blue Jays,2018,162
Toronto Blue Jays,2019,162
Toronto Blue Jays,2020,60
Toronto Blue Jays,2021,162
Toronto Blue Jays,2022,162
Toronto Blue Jays,2023,162
Toronto Blue Jays,2024,162
Washington Nationals,2014,162
Washington Nationals,2015,162
Washington Nationals,2016,162
Washington Nationals,2017,162
Washington Nationals,2018,162
Washington Nationals,2019,162
Washington Nationals,2020,60
Washington Nationals,2021,162
Washington Nationals,2022,162
Washington Nationals,2023,162
Washington Nationals,2024,162
