year,game_datetime,game_pk,position,AB,OBP,SLG,OPS
2014,2014-03-22T08:00:00Z,380537,P,1,0.0,0.0,0.0
2014,2014-03-31T00:05:00Z,380546,P,1,0.0,0.0,0.0
2014,2014-04-01T01:40:00Z,380550,P,3,0.0,0.0,0.0
2014,2014-03-31T23:05:00Z,380544,P,1,0.0,0.0,0.0
2014,2014-03-31T17:10:00Z,380553,P,1,0.0,0.0,0.0
2014,2014-03-31T17:05:00Z,380542,P,2,0.0,0.0,0.0
2014,2014-03-31T20:10:00Z,380551,P,2,0.0,0.0,0.0
2014,2014-03-23T02:00:00Z,380538,P,1,0.5,0.0,0.5
2014,2014-03-31T18:10:00Z,380540,P,1,0.0,0.0,0.0
2014,2014-03-23T02:00:00Z,380538,P,1,0.5,0.0,0.5
2014,2014-04-01T23:10:00Z,380556,P,1,0.0,0.0,0.0
2014,2014-04-02T00:10:00Z,380554,P,2,0.0,0.0,0.0
2014,2014-04-01T22:40:00Z,380557,P,1,0.0,0.0,0.0
2014,2014-04-02T23:10:00Z,380575,P,2,0.0,0.0,0.0
2014,2014-04-02T23:10:00Z,380577,P,2,0.0,0.0,0.0
2014,2014-04-02T17:10:00Z,380563,P,1,0.0,0.0,0.0
2014,2014-04-02T01:40:00Z,380561,P,3,0.333,0.333,0.667
2014,2014-04-02T23:05:00Z,380565,P,3,0.0,0.0,0.0
2014,2014-04-02T23:10:00Z,380567,P,2,0.0,0.0,0.0
2014,2014-04-03T01:40:00Z,380574,P,1,0.0,0.0,0.0
2014,2014-04-03T02:10:00Z,380569,P,1,0.0,0.0,0.0
2014,2014-04-03T16:35:00Z,380579,P,1,1.0,1.0,2.0
2014,2014-04-03T16:35:00Z,380586,P,2,0.5,0.5,1.0
2014,2014-04-03T17:10:00Z,380588,P,1,0.0,0.0,0.0
2014,2014-04-04T17:05:00Z,380591,P,1,0.0,0.0,0.0
2014,2014-04-03T16:40:00Z,380580,P,2,0.5,1.0,1.5
2014,2014-04-04T18:20:00Z,380598,P,1,0.0,0.0,0.0
