game_id,year,team_name,pitcher_old,pitcher_new
380801,2014,Seattle Mariners,Roenis Elías,Danny Farquhar
381137,2014,Detroit Tigers,Al Alburquerque,Ian Krol
380799,2014,New York Yankees,Iván Nova,Matt Daley
380799,2014,New York Yankees,Matt Daley,Dellin Betances
380799,2014,Tampa Bay Rays,Chris Archer,C.J. Riefenhauser
382838,2014,San Francisco Giants,Tim Hudson,Javier López
382838,2014,San Diego Padres,Frank Garces,Dale Thayer
382563,2014,San Francisco Giants,Jake Peavy,Jeremy Affeldt
382563,2014,San Francisco Giants,Jeremy Affeldt,Sergio Romo
382569,2014,Washington Nationals,Stephen Strasburg,Matt Thornton
382569,2014,Seattle Mariners,Tom Wilhelmsen,Charlie Furbush
382847,2014,Kansas City Royals,James Shields,Kelvin Herrera
380794,2014,Texas Rangers,Colby Lewis,Aaron Poreda
380794,2014,Texas Rangers,Aaron Poreda,Jason Frasor
381136,2014,Kansas City Royals,Jason Vargas,Louis Coleman
382580,2014,New York Yankees,Brandon McCarthy,Dellin Betances
381959,2014,Houston Astros,Brad Peacock,Anthony Bass
381959,2014,Houston Astros,Anthony Bass,Darin Downs
381959,2014,Houston Astros,Darin Downs,Josh Zeid
381959,2014,Houston Astros,Josh Zeid,Jose Veras
382848,2014,Chicago Cubs,Felix Doubront,Carlos Villanueva
382848,2014,Los Angeles Dodgers,Roberto Hernandez,Paco Rodríguez
382848,2014,Los Angeles Dodgers,Danny Coulombe,Pedro Báez
382848,2014,Los Angeles Dodgers,J.P. Howell,Brandon League
382848,2014,Los Angeles Dodgers,Brian Wilson,Carlos Frías
380791,2014,Arizona Diamondbacks,Mike Bolsinger,Oliver Pérez
380791,2014,Los Angeles Dodgers,Dan Haren,Brian Wilson
381969,2014,Toronto Blue Jays,Brett Cecil,Todd Redmond
381969,2014,Tampa Bay Rays,David Price,Jake McGee
381354,2014,Toronto Blue Jays,J.A. Happ,Bobby Korecky
381133,2014,Chicago White Sox,André Rienzo,Scott Downs
381133,2014,Chicago White Sox,Scott Downs,Ronald Belisario
381133,2014,Oakland Athletics,Fernando Abad,Luke Gregerson
382233,2014,Toronto Blue Jays,Drew Hutchison,Casey Janssen
382237,2014,New York Yankees,Chris Capuano,Adam Warren
382237,2014,Detroit Tigers,Blaine Hardy,Phil Coke
381360,2014,Boston Red Sox,Brandon Workman,Burke Badenhop
381360,2014,Boston Red Sox,Edward Mujica,Andrew Miller
382851,2014,Oakland Athletics,Eric O'Flaherty,Dan Otero
382851,2014,Oakland Athletics,Dan Otero,Fernando Abad
382851,2014,Oakland Athletics,Fernando Abad,Ryan Cook
380800,2014,Colorado Rockies,Jordan Lyles,Boone Logan
381348,2014,Atlanta Braves,Julio Teheran,Luis Avilán
381348,2014,Atlanta Braves,Luis Avilán,David Carpenter
381144,2014,Arizona Diamondbacks,Brad Ziegler,Oliver Pérez
381961,2014,Kansas City Royals,Bruce Chen,Yordano Ventura
381961,2014,Detroit Tigers,Justin Verlander,Ian Krol
381961,2014,Detroit Tigers,Ian Krol,Al Alburquerque
381961,2014,Detroit Tigers,Al Alburquerque,Phil Coke
382582,2014,New York Mets,Dillon Gee,Dana Eveland
382572,2014,Pittsburgh Pirates,Jared Hughes,Justin Wilson
382236,2014,Cleveland Indians,Scott Atchison,Marc Rzepczynski
382236,2014,Cincinnati Reds,Mat Latos,Jumbo Díaz
382855,2014,New York Yankees,Chris Capuano,Chase Whitley
