season,team_id,team_name,babip
2019,117,Houston Astros,.296
2019,142,Minnesota Twins,.300
2019,111,Boston Red Sox,.313
2019,147,New York Yankees,.306
2019,115,Colorado Rockies,.321
2019,120,Washington Nationals,.306
2019,134,Pittsburgh Pirates,.309
2019,145,Chicago White Sox,.329
2019,144,Atlanta Braves,.305
2019,119,Los Angeles Dodgers,.291
2019,121,New York Mets,.299
2019,139,Tampa Bay Rays,.306
2019,112,Chicago Cubs,.297
2019,109,Arizona Diamondbacks,.293
2019,114,Cleveland Indians,.289
2019,133,Oakland Athletics,.282
2019,140,Texas Rangers,.304
2019,108,Los Angeles Angels,.281
2019,118,Kansas City Royals,.301
2019,158,Milwaukee Brewers,.296
2019,110,Baltimore Orioles,.293
2019,143,Philadelphia Phillies,.293
2019,138,St. Louis Cardinals,.292
2019,113,Cincinnati Reds,.288
2019,146,Miami Marlins,.300
2019,116,Detroit Tigers,.308
2019,137,San Francisco Giants,.290
2019,135,San Diego Padres,.293
2019,136,Seattle Mariners,.287
2019,141,Toronto Blue Jays,.280
2020,121,New York Mets,.320
2020,144,Atlanta Braves,.322
2020,111,Boston Red Sox,.321
2020,120,Washington Nationals,.308
2020,137,San Francisco Giants,.311
2020,145,Chicago White Sox,.314
2020,110,Baltimore Orioles,.309
2020,115,Colorado Rockies,.316
2020,143,Philadelphia Phillies,.299
2020,135,San Diego Padres,.291
2020,119,Los Angeles Dodgers,.276
2020,141,Toronto Blue Jays,.297
2020,108,Los Angeles Angels,.284
2020,147,New York Yankees,.280
2020,116,Detroit Tigers,.314
2020,118,Kansas City Royals,.297
2020,146,Miami Marlins,.306
2020,142,Minnesota Twins,.283
2020,109,Arizona Diamondbacks,.282
2020,117,Houston Astros,.273
2020,139,Tampa Bay Rays,.300
2020,138,St. Louis Cardinals,.290
2020,114,Cleveland Indians,.277
2020,136,Seattle Mariners,.281
2020,133,Oakland Athletics,.271
2020,158,Milwaukee Brewers,.278
2020,112,Chicago Cubs,.270
2020,134,Pittsburgh Pirates,.268
2020,140,Texas Rangers,.266
2020,113,Cincinnati Reds,.245
2014,116,Detroit Tigers,.319
2014,115,Colorado Rockies,.326
2014,119,Los Angeles Dodgers,.318
2014,118,Kansas City Royals,.302
2014,134,Pittsburgh Pirates,.307
2014,108,Los Angeles Angels,.305
2014,141,Toronto Blue Jays,.295
2014,140,Texas Rangers,.305
2014,110,Baltimore Orioles,.296
2014,137,San Francisco Giants,.304
2014,142,Minnesota Twins,.309
2014,120,Washington Nationals,.303
2014,114,Cleveland Indians,.296
2014,138,St. Louis Cardinals,.300
2014,146,Miami Marlins,.316
2014,145,Chicago White Sox,.306
2014,158,Milwaukee Brewers,.293
