season,team_id,team_name,stolen_bases,caught_stealing,sb_success_rate
2023,144,Atlanta Braves,132,27,.830
2023,140,Texas Rangers,79,19,.806
2023,139,Tampa Bay Rays,160,41,.796
2023,146,Miami Marlins,86,21,.804
2023,117,Houston Astros,107,32,.770
2023,111,Boston Red Sox,112,26,.812
2023,119,Los Angeles Dodgers,105,25,.808
2023,141,Toronto Blue Jays,99,34,.744
2023,143,Philadelphia Phillies,141,26,.844
2023,110,Baltimore Orioles,114,24,.826
2023,112,Chicago Cubs,140,34,.805
2023,120,Washington Nationals,127,29,.814
2023,114,Cleveland Guardians,151,36,.807
2023,109,Arizona Diamondbacks,166,26,.865
2023,138,St. Louis Cardinals,101,29,.777
2023,113,Cincinnati Reds,190,48,.798
2023,115,Colorado Rockies,76,25,.752
2023,108,Los Angeles Angels,72,31,.699
2023,118,Kansas City Royals,163,47,.776
2023,135,San Diego Padres,137,32,.811
2023,142,Minnesota Twins,86,18,.827
2023,136,Seattle Mariners,118,30,.797
2023,158,Milwaukee Brewers,129,28,.822
2023,134,Pittsburgh Pirates,117,41,.741
2023,121,New York Mets,118,15,.887
2023,145,Chicago White Sox,86,22,.796
2023,116,Detroit Tigers,85,23,.787
2023,137,San Francisco Giants,57,16,.781
2023,147,New York Yankees,100,30,.769
2023,133,Oakland Athletics,149,31,.828
2018,111,Boston Red Sox,125,31,.801
2018,114,Cleveland Indians,135,36,.789
2018,139,Tampa Bay Rays,128,51,.715
2018,112,Chicago Cubs,66,38,.635
2018,144,Atlanta Braves,90,36,.714
2018,115,Colorado Rockies,95,33,.742
2018,117,Houston Astros,71,26,.732
2018,136,Seattle Mariners,79,37,.681
2018,120,Washington Nationals,119,33,.783
2018,113,Cincinnati Reds,77,33,.700
2018,134,Pittsburgh Pirates,70,38,.648
2018,158,Milwaukee Brewers,124,32,.795
2018,133,Oakland Athletics,35,21,.625
2018,119,Los Angeles Dodgers,75,24,.758
2018,142,Minnesota Twins,47,27,.635
2018,147,New York Yankees,63,21,.750
2018,138,St. Louis Cardinals,63,32,.663
2018,118,Kansas City Royals,117,38,.755
2018,141,Toronto Blue Jays,47,30,.610
2018,108,Los Angeles Angels,89,22,.802
2018,116,Detroit Tigers,70,30,.700
2018,145,Chicago White Sox,98,41,.705
2018,140,Texas Rangers,74,35,.679
2018,110,Baltimore Orioles,81,22,.786
2018,137,San Francisco Giants,77,34,.694
2018,146,Miami Marlins,45,31,.592
2018,109,Arizona Diamondbacks,79,25,.760
2018,135,San Diego Padres,95,36,.725
2018,121,New York Mets,71,39,.645
2018,143,Philadelphia Phillies,69,26,.726
2014,116,Detroit Tigers,106,41,.721
2014,115,Colorado Rockies,85,48,.639
2014,119,Los Angeles Dodgers,138,50,.734
2014,118,Kansas City Royals,153,36,.810
2014,134,Pittsburgh Pirates,104,47,.689
2014,108,Los Angeles Angels,81,39,.675
2014,141,Toronto Blue Jays,78,21,.788
2014,140,Texas Rangers,105,59,.640
2014,110,Baltimore Orioles,44,20,.688
2014,137,San Francisco Giants,56,27,.675
2014,142,Minnesota Twins,99,36,.733
2014,120,Washington Nationals,101,23,.815
2014,114,Cleveland Indians,104,27,.794
2014,138,St. Louis Cardinals,57,32,.640
2014,146,Miami Marlins,58,21,.734
